Subject	Phase	ADL	time
21	2.0	23.0	5.031
12	2.0	26.0	5.751
20	2.0	26.0	5.511
19	3.0	3.0	6.991
22	2.0	5.0	4.931
13	2.0	12.0	7.431
15	2.0	6.0	8.911
12	2.0	4.0	3.98
21	2.0	14.0	12.421
22	3.0	24.0	10.811
7	2.0	14.0	14.881
11	2.0	10.0	4.901
16	2.0	10.0	10.241
2	2.0	8.0	4.871
20	2.0	3.0	5.201
1	2.0	14.0	16.501
17	2.0	17.0	20.651
6	2.0	19.0	2.13
16	2.0	25.0	4.681
11	2.0	2.0	4.311
20	1.0	5.0	2.68
21	3.0	11.0	10.941
11	2.0	18.0	4.431
8	1.0	2.0	1.9
22	2.0	1.0	2.23
14	2.0	14.0	15.421
1	3.0	4.0	6.041
6	2.0	15.0	9.291
22	2.0	1.0	3.79
16	1.0	7.0	2.22
3	2.0	6.0	7.321
3	2.0	2.0	3.5
20	2.0	21.0	10.541
7	2.0	14.0	13.701
4	2.0	10.0	11.111
19	2.0	2.0	2.47
17	2.0	17.0	14.641
21	2.0	16.0	12.531
1	2.0	17.0	3.85
21	3.0	1.0	5.991
2	2.0	6.0	5.791
17	2.0	4.0	4.261
2	2.0	19.0	14.191
21	1.0	5.0	2.0
1	2.0	6.0	5.591
18	2.0	23.0	6.611
9	1.0	12.0	2.18
22	1.0	3.0	1.74
13	2.0	10.0	9.871
9	2.0	7.0	2.61
1	1.0	8.0	1.4
7	1.0	16.0	2.18
18	2.0	6.0	8.211
3	2.0	17.0	12.401
1	2.0	19.0	12.161
17	2.0	19.0	10.701
5	2.0	19.0	8.731
22	2.0	3.0	3.11
11	2.0	16.0	9.161
13	2.0	24.0	7.661
1	2.0	21.0	25.041
22	2.0	19.0	8.191
4	2.0	12.0	7.621
7	2.0	20.0	5.221
1	2.0	8.0	2.73
13	2.0	16.0	4.581
14	2.0	13.0	1.64
4	2.0	26.0	7.911
8	3.0	8.0	6.781
16	2.0	23.0	4.711
16	2.0	12.0	7.891
4	2.0	6.0	10.151
8	2.0	16.0	6.831
19	2.0	17.0	6.181
9	1.0	6.0	3.25
12	2.0	4.0	3.92
8	2.0	21.0	11.341
17	2.0	6.0	7.741
22	2.0	15.0	5.811
4	2.0	21.0	20.581
7	2.0	2.0	5.161
14	2.0	7.0	6.741
11	1.0	7.0	1.51
11	2.0	6.0	2.36
22	2.0	6.0	11.531
9	2.0	10.0	5.511
15	2.0	14.0	20.171
15	3.0	7.0	13.921
18	2.0	17.0	16.091
22	2.0	15.0	14.431
13	2.0	19.0	12.111
6	2.0	21.0	3.81
4	2.0	6.0	5.911
9	3.0	12.0	9.801
14	2.0	19.0	8.041
2	1.0	22.0	1.9
15	2.0	14.0	15.581
22	3.0	24.0	8.531
7	3.0	22.0	9.311
16	2.0	12.0	6.431
18	3.0	25.0	7.081
13	2.0	12.0	1.89
8	2.0	21.0	2.36
11	2.0	21.0	2.62
3	2.0	25.0	4.741
8	2.0	21.0	5.351
10	2.0	17.0	8.041
10	2.0	7.0	2.69
11	3.0	25.0	6.721
15	2.0	21.0	18.641
22	2.0	8.0	5.261
10	2.0	21.0	2.43
15	2.0	15.0	15.631
2	2.0	19.0	14.791
14	2.0	14.0	15.221
15	2.0	17.0	19.801
5	2.0	25.0	2.78
2	1.0	14.0	4.601
17	2.0	22.0	9.881
17	2.0	18.0	7.991
12	2.0	13.0	7.401
3	2.0	19.0	2.71
2	2.0	1.0	3.64
8	2.0	5.0	3.46
20	2.0	13.0	6.271
4	2.0	24.0	7.651
21	1.0	11.0	2.77
6	2.0	23.0	3.75
10	3.0	20.0	5.901
11	2.0	19.0	2.48
5	1.0	2.0	2.24
12	2.0	17.0	1.99
10	2.0	16.0	6.651
19	2.0	5.0	2.57
2	1.0	11.0	3.33
19	2.0	26.0	3.33
4	2.0	26.0	8.491
8	2.0	7.0	5.061
20	2.0	15.0	14.851
1	2.0	10.0	6.481
9	2.0	18.0	2.68
4	2.0	7.0	5.621
21	2.0	16.0	5.621
16	2.0	26.0	3.37
19	1.0	18.0	2.07
19	2.0	26.0	4.661
14	2.0	10.0	4.241
6	1.0	2.0	2.19
5	2.0	14.0	15.431
4	2.0	24.0	6.101
10	2.0	26.0	9.701
10	2.0	15.0	12.531
3	2.0	23.0	3.78
17	2.0	17.0	18.271
14	2.0	13.0	2.0
4	3.0	10.0	13.281
5	2.0	23.0	5.551
1	2.0	11.0	2.85
