Subject	Phase	ADL	time
9	2.0	21.0	7.721
15	2.0	14.0	17.911
8	2.0	19.0	7.711
10	3.0	19.0	29.191
3	2.0	14.0	6.861
10	3.0	22.0	10.441
4	2.0	17.0	18.411
7	2.0	4.0	2.96
1	2.0	23.0	8.911
4	2.0	13.0	6.371
3	3.0	22.0	12.661
7	2.0	14.0	5.021
11	3.0	18.0	6.981
9	2.0	10.0	5.541
14	2.0	16.0	2.79
6	2.0	14.0	5.041
19	2.0	14.0	13.941
19	2.0	14.0	6.941
22	2.0	21.0	3.04
20	3.0	21.0	20.181
15	2.0	21.0	2.65
7	2.0	11.0	5.091
6	2.0	14.0	8.351
19	2.0	22.0	5.391
2	3.0	20.0	10.961
22	1.0	16.0	2.01
2	1.0	12.0	3.37
22	2.0	2.0	5.611
5	2.0	25.0	5.371
4	2.0	5.0	3.38
15	2.0	21.0	9.551
18	2.0	6.0	5.401
15	2.0	17.0	7.051
20	2.0	23.0	8.531
8	1.0	10.0	1.58
11	3.0	3.0	9.301
4	2.0	7.0	2.95
21	3.0	15.0	15.341
15	2.0	11.0	2.73
10	3.0	20.0	6.981
17	2.0	20.0	4.221
4	2.0	15.0	9.871
19	1.0	14.0	2.05
9	2.0	10.0	2.69
3	2.0	17.0	11.481
10	2.0	16.0	4.721
10	2.0	21.0	16.281
2	3.0	2.0	8.021
17	2.0	17.0	7.231
11	3.0	10.0	11.011
15	1.0	23.0	3.16
5	2.0	4.0	2.71
5	2.0	10.0	13.421
15	3.0	23.0	10.381
16	1.0	24.0	1.8
10	3.0	1.0	3.83
11	2.0	7.0	5.701
22	3.0	23.0	10.151
9	3.0	25.0	7.201
5	2.0	10.0	4.14
2	1.0	11.0	3.68
22	3.0	10.0	15.451
17	2.0	6.0	4.991
3	2.0	10.0	5.921
4	2.0	14.0	10.041
18	3.0	22.0	11.701
20	2.0	21.0	17.071
7	2.0	11.0	4.371
13	3.0	4.0	7.721
12	2.0	21.0	10.211
3	3.0	17.0	20.181
5	2.0	15.0	3.32
19	3.0	1.0	4.911
6	2.0	22.0	6.441
19	3.0	2.0	5.521
22	2.0	21.0	22.951
5	2.0	24.0	6.221
22	2.0	7.0	9.571
5	2.0	26.0	4.521
10	1.0	3.0	2.31
12	2.0	18.0	2.66
4	2.0	24.0	9.441
16	2.0	21.0	8.431
5	2.0	5.0	4.151
11	2.0	17.0	4.251
12	2.0	5.0	3.67
5	2.0	26.0	3.69
13	2.0	15.0	2.94
7	2.0	25.0	6.451
6	2.0	21.0	3.88
18	2.0	16.0	4.181
17	3.0	4.0	7.661
8	2.0	7.0	3.84
9	2.0	21.0	15.561
20	3.0	16.0	14.091
11	1.0	15.0	1.42
17	2.0	7.0	5.491
1	2.0	22.0	6.761
16	2.0	21.0	19.631
15	2.0	20.0	2.87
7	2.0	10.0	6.781
2	2.0	18.0	5.871
9	2.0	19.0	14.451
6	2.0	15.0	13.781
2	2.0	9.0	5.531
4	2.0	21.0	15.251
9	2.0	16.0	8.361
8	1.0	3.0	1.58
17	2.0	8.0	6.471
5	2.0	16.0	7.901
18	2.0	10.0	10.581
15	2.0	24.0	5.521
15	2.0	9.0	3.41
4	2.0	3.0	5.431
15	2.0	24.0	7.321
22	3.0	9.0	6.051
11	2.0	22.0	8.501
20	2.0	15.0	8.801
